model,num_rules,accuracy,mean_latency
anthropic/claude-3.5-haiku,10,98.0,9.32
anthropic/claude-3.7-sonnet,10,100.0,17.224
anthropic/claude-opus-4,10,100.0,24.936
anthropic/claude-opus-4-high-reasoning,10,92.0,31.914
anthropic/claude-sonnet-4,10,100.0,12.777
anthropic/claude-sonnet-4-high-reasoning,10,100.0,18.5
deepseek/deepseek-r1-0528,10,98.0,22.295
google/gemini-2.5-flash-preview-05-20,10,100.0,6.407
google/gemini-2.5-pro-preview,10,100.0,21.543
meta-llama/llama-4-maverick,10,100.0,2.594
meta-llama/llama-4-scout,10,100.0,8.46
openai/gpt-4.1,10,98.0,12.071
openai/gpt-4.1-mini,10,100.0,9.277
openai/gpt-4.1-nano,10,94.0,5.389
openai/gpt-4o,10,94.0,9.29
openai/gpt-4o-mini,10,94.0,11.075
openai/gpt-4.5-preview,10,100.0,17.248
openai/o3,10,98.0,13.858
openai/o3-high-reasoning,10,100.0,26.298
openai/o4-mini,10,100.0,12.403
qwen/qwen3-235b-a22b,10,100.0,38.193
x-ai/grok-3-beta,10,100.0,8.998
x-ai/grok-3-mini-beta,10,100.0,8.317
anthropic/claude-3.5-haiku,50,78.0,10.847
anthropic/claude-3.7-sonnet,50,99.6,26.868
anthropic/claude-opus-4,50,100.0,43.221
anthropic/claude-opus-4-high-reasoning,50,99.6,47.812
anthropic/claude-sonnet-4,50,98.0,18.476
anthropic/claude-sonnet-4-high-reasoning,50,100.0,29.053
deepseek/deepseek-r1-0528,50,94.8,24.095
google/gemini-2.5-flash-preview-05-20,50,96.0,7.401
google/gemini-2.5-pro-preview,50,99.6,34.917
meta-llama/llama-4-maverick,50,76.4,8.045
meta-llama/llama-4-scout,50,54.4,11.149
openai/gpt-4.1,50,98.8,21.25
openai/gpt-4.1-mini,50,93.2,13.675
openai/gpt-4.1-nano,50,72.8,6.796
openai/gpt-4o,50,82.8,15.445
openai/gpt-4o-mini,50,65.6,11.661
openai/gpt-4.5-preview,50,93.6,22.856
openai/o3,50,99.2,19.994
openai/o3-high-reasoning,50,99.6,68.078
openai/o4-mini,50,99.6,26.228
qwen/qwen3-235b-a22b,50,92.8,58.639
x-ai/grok-3-beta,50,100.0,17.566
x-ai/grok-3-mini-beta,50,99.2,9.924
anthropic/claude-3.5-haiku,100,43.4,11.774
anthropic/claude-3.7-sonnet,100,94.8,36.072
anthropic/claude-opus-4,100,94.6,75.446
anthropic/claude-opus-4-high-reasoning,100,81.8,68.875
anthropic/claude-sonnet-4,100,94.4,31.088
anthropic/claude-sonnet-4-high-reasoning,100,94.8,37.955
deepseek/deepseek-r1-0528,100,86.8,28.334
google/gemini-2.5-flash-preview-05-20,100,82.0,10.677
google/gemini-2.5-pro-preview,100,98.4,50.764
meta-llama/llama-4-maverick,100,50.4,7.619
meta-llama/llama-4-scout,100,27.2,10.234
openai/gpt-4.1,100,95.4,20.66
openai/gpt-4.1-mini,100,80.0,13.723
openai/gpt-4.1-nano,100,51.6,7.921
openai/gpt-4o,100,49.0,14.055
openai/gpt-4o-mini,100,41.8,12.466
openai/gpt-4.5-preview,100,90.8,33.228
openai/o3,100,98.4,30.153
openai/o3-high-reasoning,100,98.2,100.4
openai/o4-mini,100,97.8,65.049
qwen/qwen3-235b-a22b,100,77.6,54.947
x-ai/grok-3-beta,100,98.8,24.092
x-ai/grok-3-mini-beta,100,92.8,11.183
anthropic/claude-3.5-haiku,250,16.6,11.912
anthropic/claude-3.7-sonnet,250,72.9,55.891
anthropic/claude-opus-4,250,67.9,132.631
anthropic/claude-opus-4-high-reasoning,250,81.5,142.794
anthropic/claude-sonnet-4,250,77.2,85.834
anthropic/claude-sonnet-4-high-reasoning,250,80.0,95.18
deepseek/deepseek-r1-0528,250,49.1,15.885
google/gemini-2.5-flash-preview-05-20,250,50.7,12.955
google/gemini-2.5-pro-preview,250,84.8,63.366
meta-llama/llama-4-maverick,250,34.8,8.038
meta-llama/llama-4-scout,250,9.3,6.679
openai/gpt-4.1,250,74.0,24.788
openai/gpt-4.1-mini,250,44.5,15.487
openai/gpt-4.1-nano,250,25.7,7.172
openai/gpt-4o,250,22.2,12.8
openai/gpt-4o-mini,250,18.3,13.291
openai/gpt-4.5-preview,250,65.0,38.06
openai/o3,250,91.8,66.471
openai/o3-high-reasoning,250,97.8,219.578
openai/o4-mini,250,86.8,436.189
qwen/qwen3-235b-a22b,250,36.4,109.402
x-ai/grok-3-beta,250,86.2,33.318
x-ai/grok-3-mini-beta,250,56.6,11.62
anthropic/claude-3.5-haiku,500,8.5,10.544
anthropic/claude-3.7-sonnet,500,52.7,72.1
anthropic/claude-opus-4,500,44.6,146.951
anthropic/claude-opus-4-high-reasoning,500,52.1,175.652
anthropic/claude-sonnet-4,500,42.9,49.752
anthropic/claude-sonnet-4-high-reasoning,500,39.9,69.921
deepseek/deepseek-r1-0528,500,30.9,38.528
google/gemini-2.5-flash-preview-05-20,500,34.2,13.76
google/gemini-2.5-pro-preview,500,68.9,69.362
meta-llama/llama-4-maverick,500,27.7,7.783
meta-llama/llama-4-scout,500,6.7,7.715
openai/gpt-4.1,500,48.9,30.814
openai/gpt-4.1-mini,500,27.2,14.779
openai/gpt-4.1-nano,500,16.2,9.909
openai/gpt-4o,500,15.4,13.195
openai/gpt-4o-mini,500,10.4,12.6
openai/gpt-4.5-preview,500,43.0,44.947
openai/o3,500,51.6,25.794
openai/o3-high-reasoning,500,62.8,158.283
openai/o4-mini,500,34.4,28.733
qwen/qwen3-235b-a22b,500,20.9,84.589
x-ai/grok-3-beta,500,61.9,30.986
x-ai/grok-3-mini-beta,500,36.4,12.429
