model,num_rules,accuracy,latency,acc_per_latency
anthropic/claude-3.5-haiku,10,98.0,9.320456600189209,10.514506338456698
anthropic/claude-3.5-haiku,20,97.0,10.21492896080017,9.49590549011529
anthropic/claude-3.5-haiku,30,94.66666666666666,10.286769151687622,9.202759901648601
anthropic/claude-3.5-haiku,40,86.0,10.512689065933227,8.180590090758635
anthropic/claude-3.5-haiku,50,78.0,10.847444343566895,7.190633805487843
anthropic/claude-3.5-haiku,60,71.66666666666666,10.994146633148194,6.518620231113361
anthropic/claude-3.5-haiku,70,67.42857142857142,11.72158179283142,5.7525146878903985
anthropic/claude-3.5-haiku,80,50.5,11.033406066894532,4.577009102522205
anthropic/claude-3.5-haiku,90,47.333333333333336,11.211319541931152,4.221923490477924
anthropic/claude-3.5-haiku,100,43.4,11.773944473266601,3.6861053743324614
anthropic/claude-3.5-haiku,110,34.72727272727273,11.174676370620727,3.1076759250562267
anthropic/claude-3.5-haiku,120,30.666666666666668,10.868903398513794,2.8215051272661054
anthropic/claude-3.5-haiku,130,31.69230769230769,11.334247827529907,2.7961544669360254
anthropic/claude-3.5-haiku,140,29.571428571428573,11.459426164627075,2.5805331040667268
anthropic/claude-3.5-haiku,150,29.06666666666667,11.594496726989746,2.5069364674540027
anthropic/claude-3.5-haiku,160,25.625,10.908227729797364,2.349144208825206
anthropic/claude-3.5-haiku,170,22.588235294117645,11.15271577835083,2.0253573876566415
anthropic/claude-3.5-haiku,180,22.666666666666664,11.488576745986938,1.9729743002834823
anthropic/claude-3.5-haiku,190,23.473684210526315,11.85604887008667,1.9798909795110111
anthropic/claude-3.5-haiku,200,19.8,11.047305059432983,1.7922923186676498
anthropic/claude-3.5-haiku,210,19.714285714285715,10.771990823745728,1.8301431960773336
anthropic/claude-3.5-haiku,220,17.727272727272727,12.848513984680176,1.3797138523886654
anthropic/claude-3.5-haiku,230,18.695652173913043,12.095203304290772,1.5457079722902023
anthropic/claude-3.5-haiku,240,16.916666666666668,11.941149616241455,1.416669852595925
anthropic/claude-3.5-haiku,250,16.560000000000002,11.912164640426635,1.390175547423168
anthropic/claude-3.5-haiku,260,13.76923076923077,11.076365089416504,1.2431181762315966
anthropic/claude-3.5-haiku,270,13.259259259259258,12.44900918006897,1.0650855074062848
anthropic/claude-3.5-haiku,280,14.0,10.553170967102051,1.32661548302808
anthropic/claude-3.5-haiku,290,13.586206896551724,11.29855637550354,1.202472815554388
anthropic/claude-3.5-haiku,300,12.666666666666668,10.71535029411316,1.1821047673658909
anthropic/claude-3.5-haiku,310,13.806451612903226,10.603573989868163,1.302056422305861
anthropic/claude-3.5-haiku,320,13.0,11.588118743896484,1.121838694209719
anthropic/claude-3.5-haiku,330,12.484848484848484,11.58124942779541,1.0780225883819068
anthropic/claude-3.5-haiku,340,12.117647058823529,10.836994743347168,1.1181741198372874
anthropic/claude-3.5-haiku,350,12.342857142857143,10.914294576644897,1.1308891340782734
anthropic/claude-3.5-haiku,360,11.722222222222223,11.353452825546265,1.0324808146334299
anthropic/claude-3.5-haiku,370,9.945945945945947,10.179111051559449,0.977093765415028
anthropic/claude-3.5-haiku,380,11.263157894736842,10.686999177932739,1.0539121138882275
anthropic/claude-3.5-haiku,390,10.923076923076923,10.05588755607605,1.0862369792984503
anthropic/claude-3.5-haiku,400,9.75,10.686018753051759,0.9124071579245127
anthropic/claude-3.5-haiku,410,9.951219512195122,10.562768650054931,0.9421033293333914
anthropic/claude-3.5-haiku,420,9.333333333333334,10.804390144348144,0.8638463817613685
anthropic/claude-3.5-haiku,430,9.302325581395348,9.547834539413453,0.9742864251569668
anthropic/claude-3.5-haiku,440,9.681818181818182,10.738970804214478,0.9015592237217537
anthropic/claude-3.5-haiku,450,9.733333333333334,10.4494637966156,0.9314672525575707
anthropic/claude-3.5-haiku,460,9.956521739130434,9.968403148651124,0.9988080929970917
anthropic/claude-3.5-haiku,470,9.361702127659575,10.60296983718872,0.8829320719959479
anthropic/claude-3.5-haiku,480,8.5,10.604811859130859,0.8015229419352129
anthropic/claude-3.5-haiku,490,8.979591836734695,10.879897260665894,0.8253379256804771
anthropic/claude-3.5-haiku,500,8.52,10.543596553802491,0.8080734080181878
anthropic/claude-3.7-sonnet,10,100.0,17.223677921295167,5.805960867182792
anthropic/claude-3.7-sonnet,20,99.0,17.795982122421265,5.563053464482262
anthropic/claude-3.7-sonnet,30,100.0,21.809119033813477,4.585237938541082
anthropic/claude-3.7-sonnet,40,99.5,25.164038562774657,3.954055298070917
anthropic/claude-3.7-sonnet,50,99.6,26.8676739692688,3.707057042374502
anthropic/claude-3.7-sonnet,60,98.0,29.829128789901734,3.2853792241219137
anthropic/claude-3.7-sonnet,70,97.71428571428571,33.856492328643796,2.886131403270502
anthropic/claude-3.7-sonnet,80,97.25,34.33998446464538,2.831975655088703
anthropic/claude-3.7-sonnet,90,94.22222222222221,44.74951348304749,2.1055474102062925
anthropic/claude-3.7-sonnet,100,94.8,36.07187743186951,2.628086108882267
anthropic/claude-3.7-sonnet,110,92.0,45.45884099006653,2.0238087464681174
anthropic/claude-3.7-sonnet,120,92.5,45.30804057121277,2.0415802324228394
anthropic/claude-3.7-sonnet,130,91.53846153846155,48.914841985702516,1.87138418161951
anthropic/claude-3.7-sonnet,140,90.85714285714286,45.36356701850891,2.0028659302755445
anthropic/claude-3.7-sonnet,150,86.8,48.2979154586792,1.7971790122963147
anthropic/claude-3.7-sonnet,160,86.625,51.906737899780275,1.6688584855255697
anthropic/claude-3.7-sonnet,170,85.88235294117648,57.055752420425414,1.5052356563162492
anthropic/claude-3.7-sonnet,180,82.66666666666666,55.237957859039305,1.496555446123156
anthropic/claude-3.7-sonnet,190,76.3157894736842,58.85164165496826,1.2967486943032729
anthropic/claude-3.7-sonnet,200,77.1,60.434898900985715,1.2757529408019324
