model,num_rules,recency_ratio
anthropic/claude-3.5-haiku,10,0.0
anthropic/claude-3.5-haiku,20,
anthropic/claude-3.5-haiku,30,0.0
anthropic/claude-3.5-haiku,40,1.111111111111111
anthropic/claude-3.5-haiku,50,2.15
anthropic/claude-3.5-haiku,60,1.3599999999999999
anthropic/claude-3.5-haiku,70,1.2846153846153847
anthropic/claude-3.5-haiku,80,1.5973015873015872
anthropic/claude-3.5-haiku,90,1.8571428571428572
anthropic/claude-3.5-haiku,100,1.7373917748917749
anthropic/claude-3.5-haiku,110,1.5133458646616542
anthropic/claude-3.5-haiku,120,1.6043141741822589
anthropic/claude-3.5-haiku,130,1.5364899806076278
anthropic/claude-3.5-haiku,140,1.6843711843711844
anthropic/claude-3.5-haiku,150,1.7866731078904992
anthropic/claude-3.5-haiku,160,1.729022988505747
anthropic/claude-3.5-haiku,170,1.9429821827437537
anthropic/claude-3.5-haiku,180,1.7197502736726875
anthropic/claude-3.5-haiku,190,1.7624536630372796
anthropic/claude-3.5-haiku,200,1.6900609111135427
anthropic/claude-3.5-haiku,210,1.6698901808785531
anthropic/claude-3.5-haiku,220,1.501990014742757
anthropic/claude-3.5-haiku,230,1.5543009337842164
anthropic/claude-3.5-haiku,240,1.4399371696305363
anthropic/claude-3.5-haiku,250,1.4808792569659441
anthropic/claude-3.5-haiku,260,1.368313113291704
anthropic/claude-3.5-haiku,270,1.4033384536610343
anthropic/claude-3.5-haiku,280,1.40211944864511
anthropic/claude-3.5-haiku,290,1.4068112239662378
anthropic/claude-3.5-haiku,300,1.3843056341030486
anthropic/claude-3.5-haiku,310,1.4055494591344304
anthropic/claude-3.5-haiku,320,1.3820313431222102
anthropic/claude-3.5-haiku,330,1.347392722098474
anthropic/claude-3.5-haiku,340,1.3529519700220267
anthropic/claude-3.5-haiku,350,1.3515390213892087
anthropic/claude-3.5-haiku,360,1.316106042994846
anthropic/claude-3.5-haiku,370,1.24010901090109
anthropic/claude-3.5-haiku,380,1.2927758759356887
anthropic/claude-3.5-haiku,390,1.2648224098521248
anthropic/claude-3.5-haiku,400,1.244686962046962
anthropic/claude-3.5-haiku,410,1.2362550232938583
anthropic/claude-3.5-haiku,420,1.2175914771636134
anthropic/claude-3.5-haiku,430,1.2062967139238325
anthropic/claude-3.5-haiku,440,1.2047739836693445
anthropic/claude-3.5-haiku,450,1.183961494680422
anthropic/claude-3.5-haiku,460,1.2140041961254033
anthropic/claude-3.5-haiku,470,1.1933996114335026
anthropic/claude-3.5-haiku,480,1.1824491419178536
anthropic/claude-3.5-haiku,490,1.1713625725260535
anthropic/claude-3.5-haiku,500,1.1665582524893934
anthropic/claude-3.7-sonnet,10,
anthropic/claude-3.7-sonnet,20,
anthropic/claude-3.7-sonnet,30,
anthropic/claude-3.7-sonnet,40,0.0
anthropic/claude-3.7-sonnet,50,0.0
anthropic/claude-3.7-sonnet,60,0.0
anthropic/claude-3.7-sonnet,70,1.0
anthropic/claude-3.7-sonnet,80,2.0
anthropic/claude-3.7-sonnet,90,2.0
anthropic/claude-3.7-sonnet,100,2.666666666666667
anthropic/claude-3.7-sonnet,110,1.375
anthropic/claude-3.7-sonnet,120,3.375
anthropic/claude-3.7-sonnet,130,2.1666666666666665
anthropic/claude-3.7-sonnet,140,4.15
anthropic/claude-3.7-sonnet,150,3.04
anthropic/claude-3.7-sonnet,160,2.75
anthropic/claude-3.7-sonnet,170,6.466666666666667
anthropic/claude-3.7-sonnet,180,6.3
anthropic/claude-3.7-sonnet,190,2.042857142857143
anthropic/claude-3.7-sonnet,200,3.620300751879699
anthropic/claude-3.7-sonnet,210,1.9333333333333336
anthropic/claude-3.7-sonnet,220,1.8307164831555074
anthropic/claude-3.7-sonnet,230,1.9743939393939396
anthropic/claude-3.7-sonnet,240,1.7145299145299144
anthropic/claude-3.7-sonnet,250,1.768095238095238
anthropic/claude-3.7-sonnet,260,2.7303045089003346
anthropic/claude-3.7-sonnet,270,1.706614145658263
anthropic/claude-3.7-sonnet,280,1.5539602047715637
anthropic/claude-3.7-sonnet,290,1.5952510234863175
anthropic/claude-3.7-sonnet,300,1.7442436790262879
anthropic/claude-3.7-sonnet,310,1.4433053221288517
anthropic/claude-3.7-sonnet,320,1.5627609427609426
anthropic/claude-3.7-sonnet,330,1.4522083772083774
anthropic/claude-3.7-sonnet,340,1.645796687238581
anthropic/claude-3.7-sonnet,350,1.572722710984906
anthropic/claude-3.7-sonnet,360,1.5348089413878887
anthropic/claude-3.7-sonnet,370,1.4332444847233279
anthropic/claude-3.7-sonnet,380,1.2546247044917258
anthropic/claude-3.7-sonnet,390,1.627190476190476
anthropic/claude-3.7-sonnet,400,1.4359242681054114
anthropic/claude-3.7-sonnet,410,1.4211904761904761
anthropic/claude-3.7-sonnet,420,1.505095994904536
anthropic/claude-3.7-sonnet,430,1.362177544076709
anthropic/claude-3.7-sonnet,440,1.4401974223230605
anthropic/claude-3.7-sonnet,450,1.4925560583207642
anthropic/claude-3.7-sonnet,460,1.3856104458921361
anthropic/claude-3.7-sonnet,470,1.384858771293311
anthropic/claude-3.7-sonnet,480,1.6279337107813727
anthropic/claude-3.7-sonnet,490,1.4813179728073345
anthropic/claude-3.7-sonnet,500,1.3931885067567227
anthropic/claude-opus-4,10,
anthropic/claude-opus-4,20,
anthropic/claude-opus-4,30,
anthropic/claude-opus-4,40,0.0
anthropic/claude-opus-4,50,
anthropic/claude-opus-4,60,0.5
anthropic/claude-opus-4,70,
anthropic/claude-opus-4,80,1.25
anthropic/claude-opus-4,90,1.75
anthropic/claude-opus-4,100,0.2777777777777778
anthropic/claude-opus-4,110,2.5
anthropic/claude-opus-4,120,0.9400000000000001
anthropic/claude-opus-4,130,1.6
anthropic/claude-opus-4,140,1.3666666666666667
anthropic/claude-opus-4,150,1.6533333333333335
anthropic/claude-opus-4,160,1.6133333333333333
anthropic/claude-opus-4,170,1.8347619047619048
anthropic/claude-opus-4,180,1.5391219891219892
anthropic/claude-opus-4,190,2.1101027077497667
anthropic/claude-opus-4,200,2.0285714285714285
anthropic/claude-opus-4,210,1.4045763656633221
anthropic/claude-opus-4,220,1.4690105908584168
anthropic/claude-opus-4,230,1.3632490118577076
anthropic/claude-opus-4,240,1.6349358974358974
anthropic/claude-opus-4,250,1.4923640297324507
anthropic/claude-opus-4,260,1.1115833894872362
anthropic/claude-opus-4,270,1.3599571150097467
anthropic/claude-opus-4,280,1.310331154684096
anthropic/claude-opus-4,290,1.3574396034073453
anthropic/claude-opus-4,300,1.227161805470629
anthropic/claude-opus-4,310,1.1051327449898878
anthropic/claude-opus-4,320,1.2705604575163398
anthropic/claude-opus-4,330,1.366227758213411
anthropic/claude-opus-4,340,1.3156279901886947
anthropic/claude-opus-4,350,1.3098273270972967
anthropic/claude-opus-4,360,1.273689160096016
anthropic/claude-opus-4,370,1.1901853751526175
anthropic/claude-opus-4,380,1.0991816289357272
anthropic/claude-opus-4,390,1.1636802413273002
anthropic/claude-opus-4,400,1.1705064221376777
anthropic/claude-opus-4,410,1.0495231702912913
anthropic/claude-opus-4,420,1.1604412165873363
anthropic/claude-opus-4,430,1.0329536225538316
anthropic/claude-opus-4,440,1.0691434331750966
anthropic/claude-opus-4,450,1.0547262721932131
anthropic/claude-opus-4,460,1.1104126434947532
anthropic/claude-opus-4,470,1.1574318350463935
anthropic/claude-opus-4,480,1.1872429372663067
anthropic/claude-opus-4,490,0.90636355896126
anthropic/claude-opus-4,500,1.1137793589933913
anthropic/claude-opus-4-high-reasoning,10,2.0
anthropic/claude-opus-4-high-reasoning,20,
anthropic/claude-opus-4-high-reasoning,30,
anthropic/claude-opus-4-high-reasoning,40,2.9999999999999996
anthropic/claude-opus-4-high-reasoning,50,
anthropic/claude-opus-4-high-reasoning,60,0.0
anthropic/claude-opus-4-high-reasoning,70,1.0
anthropic/claude-opus-4-high-reasoning,80,0.9923076923076923
anthropic/claude-opus-4-high-reasoning,90,0.7836538461538461
anthropic/claude-opus-4-high-reasoning,100,0.6805555555555555
anthropic/claude-opus-4-high-reasoning,110,0.38749999999999996
anthropic/claude-opus-4-high-reasoning,120,0.3125
anthropic/claude-opus-4-high-reasoning,130,0.7916666666666667
anthropic/claude-opus-4-high-reasoning,140,0.5875
anthropic/claude-opus-4-high-reasoning,150,1.1890476190476191
anthropic/claude-opus-4-high-reasoning,160,1.334025974025974
anthropic/claude-opus-4-high-reasoning,170,1.2772727272727273
anthropic/claude-opus-4-high-reasoning,180,1.019047619047619
anthropic/claude-opus-4-high-reasoning,190,1.4549999999999998
anthropic/claude-opus-4-high-reasoning,200,1.9262745098039216
anthropic/claude-opus-4-high-reasoning,210,1.1517112299465242
anthropic/claude-opus-4-high-reasoning,220,1.4911354196851154
anthropic/claude-opus-4-high-reasoning,230,1.353332917082917
anthropic/claude-opus-4-high-reasoning,240,1.0704145854145852
anthropic/claude-opus-4-high-reasoning,250,0.9505718954248366
anthropic/claude-opus-4-high-reasoning,260,1.3429771856495996
anthropic/claude-opus-4-high-reasoning,270,1.3556862745098042
anthropic/claude-opus-4-high-reasoning,280,1.2776767676767675
anthropic/claude-opus-4-high-reasoning,290,0.6553660049627792
anthropic/claude-opus-4-high-reasoning,300,1.4262380088151414
anthropic/claude-opus-4-high-reasoning,310,1.1909666893784538
anthropic/claude-opus-4-high-reasoning,320,1.1752362539421364
anthropic/claude-opus-4-high-reasoning,330,1.2263253192212613
anthropic/claude-opus-4-high-reasoning,340,1.2870307728447263
anthropic/claude-opus-4-high-reasoning,350,1.1968704589394243
anthropic/claude-opus-4-high-reasoning,360,1.2661284184564565
anthropic/claude-opus-4-high-reasoning,370,1.2519828867292542
anthropic/claude-opus-4-high-reasoning,380,1.057798457283317
anthropic/claude-opus-4-high-reasoning,390,1.2477889983579638
anthropic/claude-opus-4-high-reasoning,400,1.1620852923890683
anthropic/claude-opus-4-high-reasoning,410,1.1805034474220522
anthropic/claude-opus-4-high-reasoning,420,1.1303813341366598
anthropic/claude-opus-4-high-reasoning,430,1.1837577815506508
anthropic/claude-opus-4-high-reasoning,440,0.7148172649654034
anthropic/claude-opus-4-high-reasoning,450,1.0471914461805816
anthropic/claude-opus-4-high-reasoning,460,1.1079098639455782
anthropic/claude-opus-4-high-reasoning,470,0.9356621642009946
anthropic/claude-opus-4-high-reasoning,480,1.0333815326651654
anthropic/claude-opus-4-high-reasoning,490,1.0449936591552045
anthropic/claude-opus-4-high-reasoning,500,1.0431937751004017
anthropic/claude-sonnet-4,10,
anthropic/claude-sonnet-4,20,
anthropic/claude-sonnet-4,30,
anthropic/claude-sonnet-4,40,
anthropic/claude-sonnet-4,50,0.0
anthropic/claude-sonnet-4,60,
anthropic/claude-sonnet-4,70,1.0
anthropic/claude-sonnet-4,80,0.8333333333333334
anthropic/claude-sonnet-4,90,1.0625
anthropic/claude-sonnet-4,100,0.5066666666666666
anthropic/claude-sonnet-4,110,1.125
anthropic/claude-sonnet-4,120,1.55
anthropic/claude-sonnet-4,130,1.0533333333333332
anthropic/claude-sonnet-4,140,1.1099999999999999
anthropic/claude-sonnet-4,150,2.3555555555555556
anthropic/claude-sonnet-4,160,0.8495238095238096
anthropic/claude-sonnet-4,170,1.869047619047619
anthropic/claude-sonnet-4,180,1.3666666666666667
anthropic/claude-sonnet-4,190,0.6
anthropic/claude-sonnet-4,200,1.5063247863247864
anthropic/claude-sonnet-4,210,1.254040404040404
anthropic/claude-sonnet-4,220,1.0159070131905445
anthropic/claude-sonnet-4,230,1.969640163757811
anthropic/claude-sonnet-4,240,0.9529950683159513
anthropic/claude-sonnet-4,250,1.1539612433602202
anthropic/claude-sonnet-4,260,0.9235571835571836
anthropic/claude-sonnet-4,270,1.126503795721187
anthropic/claude-sonnet-4,280,0.5800986904633468
anthropic/claude-sonnet-4,290,1.0692337164750958
anthropic/claude-sonnet-4,300,0.7668550382366173
anthropic/claude-sonnet-4,310,0.8991319551157279
anthropic/claude-sonnet-4,320,1.140125368683783
anthropic/claude-sonnet-4,330,1.3795138386323795
anthropic/claude-sonnet-4,340,1.2413722369584437
anthropic/claude-sonnet-4,350,2.601154685814987
anthropic/claude-sonnet-4,360,1.1373562171672118
anthropic/claude-sonnet-4,370,1.0921964608680836
anthropic/claude-sonnet-4,380,1.1553086073392436
anthropic/claude-sonnet-4,390,1.2250231166170447
anthropic/claude-sonnet-4,400,1.2131085875052219
anthropic/claude-sonnet-4,410,1.181403227285386
anthropic/claude-sonnet-4,420,1.1701951008277491
anthropic/claude-sonnet-4,430,1.0807443525085367
anthropic/claude-sonnet-4,440,1.205877502907509
anthropic/claude-sonnet-4,450,1.1305934220491183
anthropic/claude-sonnet-4,460,1.1168922933196423
anthropic/claude-sonnet-4,470,1.1208372060429022
anthropic/claude-sonnet-4,480,1.1540448376765513
anthropic/claude-sonnet-4,490,1.1237601454969877
anthropic/claude-sonnet-4,500,1.1750205271326553
anthropic/claude-sonnet-4-high-reasoning,10,
anthropic/claude-sonnet-4-high-reasoning,20,
anthropic/claude-sonnet-4-high-reasoning,30,
anthropic/claude-sonnet-4-high-reasoning,40,
anthropic/claude-sonnet-4-high-reasoning,50,
anthropic/claude-sonnet-4-high-reasoning,60,0.25
anthropic/claude-sonnet-4-high-reasoning,70,0.0
anthropic/claude-sonnet-4-high-reasoning,80,0.08333333333333333
anthropic/claude-sonnet-4-high-reasoning,90,1.125
anthropic/claude-sonnet-4-high-reasoning,100,3.3333333333333335
anthropic/claude-sonnet-4-high-reasoning,110,1.0
anthropic/claude-sonnet-4-high-reasoning,120,0.9999999999999999
anthropic/claude-sonnet-4-high-reasoning,130,0.89
anthropic/claude-sonnet-4-high-reasoning,140,0.6799999999999999
anthropic/claude-sonnet-4-high-reasoning,150,0.6301587301587301
anthropic/claude-sonnet-4-high-reasoning,160,0.9209523809523809
anthropic/claude-sonnet-4-high-reasoning,170,0.6178362573099415
anthropic/claude-sonnet-4-high-reasoning,180,0.6420634920634921
anthropic/claude-sonnet-4-high-reasoning,190,0.4561438561438561
anthropic/claude-sonnet-4-high-reasoning,200,0.7609523809523809
anthropic/claude-sonnet-4-high-reasoning,210,0.4804473304473305
anthropic/claude-sonnet-4-high-reasoning,220,0.512549019607843
anthropic/claude-sonnet-4-high-reasoning,230,1.0299159663865545
anthropic/claude-sonnet-4-high-reasoning,240,0.5810452705189547
anthropic/claude-sonnet-4-high-reasoning,250,0.49215251989389913
anthropic/claude-sonnet-4-high-reasoning,260,0.5404702824057663
anthropic/claude-sonnet-4-high-reasoning,270,0.978055028462998
anthropic/claude-sonnet-4-high-reasoning,280,0.5539035676966712
anthropic/claude-sonnet-4-high-reasoning,290,0.7029169024712318
anthropic/claude-sonnet-4-high-reasoning,300,3.172789490065032
anthropic/claude-sonnet-4-high-reasoning,310,0.9437547192790159
anthropic/claude-sonnet-4-high-reasoning,320,0.9425896484720013
anthropic/claude-sonnet-4-high-reasoning,330,0.7213082039911308
anthropic/claude-sonnet-4-high-reasoning,340,0.8659073842302879
anthropic/claude-sonnet-4-high-reasoning,350,3.9609523809523806
anthropic/claude-sonnet-4-high-reasoning,360,1.0441862945895204
anthropic/claude-sonnet-4-high-reasoning,370,1.0548265987498475
anthropic/claude-sonnet-4-high-reasoning,380,0.8444757213230119
anthropic/claude-sonnet-4-high-reasoning,390,1.1192163893680396
anthropic/claude-sonnet-4-high-reasoning,400,1.1141419046353258
anthropic/claude-sonnet-4-high-reasoning,410,0.9873030384915632
anthropic/claude-sonnet-4-high-reasoning,420,0.5449050727598866
anthropic/claude-sonnet-4-high-reasoning,430,1.018068557116692
anthropic/claude-sonnet-4-high-reasoning,440,1.0756119163389264
anthropic/claude-sonnet-4-high-reasoning,450,1.0305059499154634
anthropic/claude-sonnet-4-high-reasoning,460,1.1450888226856448
anthropic/claude-sonnet-4-high-reasoning,470,1.0847436074051309
anthropic/claude-sonnet-4-high-reasoning,480,1.172166539039678
anthropic/claude-sonnet-4-high-reasoning,490,1.073449516666748
anthropic/claude-sonnet-4-high-reasoning,500,1.120096267608264
deepseek/deepseek-r1-0528,10,0.0
deepseek/deepseek-r1-0528,20,
deepseek/deepseek-r1-0528,30,0.0
deepseek/deepseek-r1-0528,40,
deepseek/deepseek-r1-0528,50,0.8333333333333334
deepseek/deepseek-r1-0528,60,1.4166666666666665
deepseek/deepseek-r1-0528,70,1.25
deepseek/deepseek-r1-0528,80,0.8833333333333333
deepseek/deepseek-r1-0528,90,1.7566666666666666
deepseek/deepseek-r1-0528,100,1.2366666666666668
deepseek/deepseek-r1-0528,110,1.0911111111111111
deepseek/deepseek-r1-0528,120,1.3433333333333333
deepseek/deepseek-r1-0528,130,1.4051948051948053
deepseek/deepseek-r1-0528,140,1.6149206349206349
deepseek/deepseek-r1-0528,150,1.7339438339438342
deepseek/deepseek-r1-0528,160,1.989939091915836
deepseek/deepseek-r1-0528,170,1.6919934640522876
deepseek/deepseek-r1-0528,180,1.670004432272234
deepseek/deepseek-r1-0528,190,1.770359052711994
deepseek/deepseek-r1-0528,200,1.7810654562828474
deepseek/deepseek-r1-0528,210,1.6612380952380952
deepseek/deepseek-r1-0528,220,1.6403090891529026
deepseek/deepseek-r1-0528,230,1.5278657138404683
deepseek/deepseek-r1-0528,240,1.7690137448758136
deepseek/deepseek-r1-0528,250,1.5467481346964846
deepseek/deepseek-r1-0528,260,1.4355709165386583
deepseek/deepseek-r1-0528,270,1.3317066798269805
deepseek/deepseek-r1-0528,280,1.531726696445925
deepseek/deepseek-r1-0528,290,1.3572943722943722
deepseek/deepseek-r1-0528,300,1.4229159891598915
deepseek/deepseek-r1-0528,310,1.3284110298207334
deepseek/deepseek-r1-0528,320,1.5358489181130055
deepseek/deepseek-r1-0528,330,1.4185465297230002
deepseek/deepseek-r1-0528,340,1.4635586351029337
deepseek/deepseek-r1-0528,350,1.370868854969372
deepseek/deepseek-r1-0528,360,1.429504731912743
deepseek/deepseek-r1-0528,370,1.3598149512423312
deepseek/deepseek-r1-0528,380,1.4093334443334444
deepseek/deepseek-r1-0528,390,1.2815975903210168
deepseek/deepseek-r1-0528,400,1.2635710075092113
deepseek/deepseek-r1-0528,410,1.2962487064787405
deepseek/deepseek-r1-0528,420,1.247410572724929
deepseek/deepseek-r1-0528,430,1.279410371217586
deepseek/deepseek-r1-0528,440,1.2352788467060163
deepseek/deepseek-r1-0528,450,1.2883726150392818
deepseek/deepseek-r1-0528,460,1.2466803377286286
deepseek/deepseek-r1-0528,470,1.2284342460742679
deepseek/deepseek-r1-0528,480,1.26513597022205
deepseek/deepseek-r1-0528,490,1.2027271094213952
deepseek/deepseek-r1-0528,500,1.2516173016882077
google/gemini-2.5-flash-preview-05-20,10,
google/gemini-2.5-flash-preview-05-20,20,
google/gemini-2.5-flash-preview-05-20,30,
